state,candidate,count
SC,"Jeb Bush, Donald Trump, Ted Cruz",221
SC,"Jeb Bush, Marco Rubio, Chris Christie",2
SC,John Kasich,724
SC,"John Kasich, Jeb Bush",85
SC,"John Kasich, Marco Rubio, Jeb Bush",11
SC,Marco Rubio,3627
SC,"Marco Rubio, Donald Trump, Ted Cruz, Hillary Clinton",260
SC,"Marco Rubio, Hillary Clinton",124
SC,"Marco Rubio, Hillary Clinton, Jeb Bush",284
SC,"Marco Rubio, Jeb Bush",339
SC,"Marco Rubio, Ted Cruz",552
SC,Ted Cruz,1740
SC,"Ted Cruz, Donald Trump",118
SC,"Ted Cruz, Donald Trump, Marco Rubio",1
SC,"Ted Cruz, Hillary Clinton",106
SC,"Ted Cruz, Marco Rubio",405
VA,Bernie Sanders,7
VA,Carly Fiorina,5
VA,Donald Trump,114
VA,"Donald Trump, Ben Carson, Jeb Bush, Ted Cruz, Marco Rubio",18
VA,"Donald Trump, Ben Carson, Marco Rubio, Ted Cruz",14
VA,"Donald Trump, Ted Cruz",5
VA,"Donald Trump, Ted Cruz, Chris Christie, Jeb Bush, Hillary Clinton",4
VA,Hillary Clinton,356
VA,"Hillary Clinton, Donald Trump",2
VA,Jeb Bush,2
VA,John Kasich,6
VA,Marco Rubio,59
VA,"Marco Rubio, Donald Trump, Ted Cruz",244
VA,"Marco Rubio, Hillary Clinton, Jeb Bush",5
VA,"Marco Rubio, Jeb Bush",1
VA,"Martin O'Malley, Bernie Sanders, Jeb Bush, Hillary Clinton, Donald Trump, Carly Fiorina",1
VA,Ted Cruz,5
VA,"Ted Cruz, Marco Rubio",4
